Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Date,Hour,Minute,Time Period
619,Airport,1,Trip Completed,11/7/2016 11:51,11/7/2016 13:00,11/7/2016,11,51,Morning
867,Airport,1,Trip Completed,11/7/2016 17:57,11/7/2016 18:47,11/7/2016,17,57,Evening
1807,City,1,Trip Completed,12/7/2016 9:17,12/7/2016 9:58,12/7/2016,9,17,Morning
2532,Airport,1,Trip Completed,12/7/2016 21:08,12/7/2016 22:03,12/7/2016,21,8,Night
3112,City,1,Trip Completed,7/13/2016 8:33,7/13/2016 9:25,7/13/2016,8,33,Morning
3879,Airport,1,Trip Completed,7/13/2016 21:57,7/13/2016 22:28,7/13/2016,21,57,Night
4270,Airport,1,Trip Completed,7/14/2016 6:15,7/14/2016 7:13,7/14/2016,6,15,Early Morning
5510,Airport,1,Trip Completed,7/15/2016 5:11,7/15/2016 6:07,7/15/2016,5,11,Early Morning
6248,City,1,Trip Completed,7/15/2016 17:57,7/15/2016 18:50,7/15/2016,17,57,Evening
267,City,2,Trip Completed,11/7/2016 6:46,11/7/2016 7:25,11/7/2016,6,46,Early Morning
1467,Airport,2,Trip Completed,12/7/2016 5:08,12/7/2016 6:02,12/7/2016,5,8,Early Morning
1983,City,2,Trip Completed,12/7/2016 12:30,12/7/2016 12:57,12/7/2016,12,30,Afternoon
2784,Airport,2,Trip Completed,7/13/2016 4:49,7/13/2016 5:23,7/13/2016,4,49,Early Morning
3075,City,2,Trip Completed,7/13/2016 8:02,7/13/2016 9:16,7/13/2016,8,2,Morning
3379,City,2,Trip Completed,7/13/2016 14:23,7/13/2016 15:35,7/13/2016,14,23,Afternoon
3482,Airport,2,Trip Completed,7/13/2016 17:23,7/13/2016 18:20,7/13/2016,17,23,Evening
4652,City,2,Trip Completed,7/14/2016 12:01,7/14/2016 12:36,7/14/2016,12,1,Afternoon
5335,Airport,2,Trip Completed,7/14/2016 22:24,7/14/2016 23:18,7/14/2016,22,24,Night
535,Airport,3,Trip Completed,11/7/2016 10:00,11/7/2016 10:31,11/7/2016,10,0,Morning
960,Airport,3,Trip Completed,11/7/2016 18:45,11/7/2016 19:23,11/7/2016,18,45,Evening
1934,Airport,3,Trip Completed,12/7/2016 11:17,12/7/2016 12:23,12/7/2016,11,17,Morning
2083,Airport,3,Trip Completed,12/7/2016 15:46,12/7/2016 16:40,12/7/2016,15,46,Afternoon
2211,Airport,3,Trip Completed,12/7/2016 18:00,12/7/2016 18:28,12/7/2016,18,0,Evening
3096,Airport,3,Trip Completed,7/13/2016 8:17,7/13/2016 9:22,7/13/2016,8,17,Morning
3881,Airport,3,Trip Completed,7/13/2016 21:54,7/13/2016 22:51,7/13/2016,21,54,Night
5254,City,3,Trip Completed,7/14/2016 21:23,7/14/2016 22:25,7/14/2016,21,23,Night
5434,City,3,Trip Completed,7/15/2016 2:41,7/15/2016 3:24,7/15/2016,2,41,Late Night
5916,City,3,Trip Completed,7/15/2016 10:00,7/15/2016 10:53,7/15/2016,10,0,Morning
669,City,4,Trip Completed,11/7/2016 13:08,11/7/2016 13:49,11/7/2016,13,8,Afternoon
1567,Airport,4,Trip Completed,12/7/2016 6:21,12/7/2016 7:10,12/7/2016,6,21,Early Morning
1826,City,4,Trip Completed,12/7/2016 9:27,12/7/2016 10:27,12/7/2016,9,27,Morning
2102,City,4,Trip Completed,12/7/2016 16:09,12/7/2016 17:01,12/7/2016,16,9,Evening
2847,Airport,4,Trip Completed,7/13/2016 5:34,7/13/2016 6:09,7/13/2016,5,34,Early Morning
3722,Airport,4,Trip Completed,7/13/2016 19:57,7/13/2016 20:32,7/13/2016,19,57,Night
4075,City,4,Trip Completed,7/14/2016 2:17,7/14/2016 3:21,7/14/2016,2,17,Late Night
4686,City,4,Trip Completed,7/14/2016 13:01,7/14/2016 13:45,7/14/2016,13,1,Afternoon
